device,date,reading
BMRMUSWACC109,2004/04/30 05:00,9.76
BMRMUSWACC109,2004/04/30 05:10,9.76
BMRMUSWACC109,2004/04/30 05:20,9.76
BMRMUSWACC109,2004/04/30 05:30,9.76
BMRMUSWACC109,2004/04/30 05:40,9.76
BMRMUSWACC109,2004/04/30 05:50,8.89
BMRMUSWACC109,2004/04/30 06:00,8.61
BMRMUSWACC109,2004/04/30 06:10,8.32
BMRMUSWACC109,2004/04/30 06:20,8.32
BMRMUSWACC109,2004/04/30 06:30,8.89
BMRMUSWACC109,2004/04/30 06:40,10.04
BMRMUSWACC109,2004/04/30 06:50,11.19
BMRMUSWACC109,2004/04/30 07:00,12.06
BMRMUSWACC109,2004/04/30 07:10,12.63
BMRMUSWACC109,2004/04/30 07:20,13.5
BMRMUSWACC109,2004/04/30 07:30,14.08
BMRMUSWACC109,2004/04/30 07:40,14.67
BMRMUSWACC109,2004/04/30 07:50,15.54
BMRMUSWACC109,2004/04/30 08:00,16.43
BMRMUSWACC109,2004/04/30 08:10,17.31
BMRMUSWACC109,2004/04/30 08:20,17.61
BMRMUSWACC109,2004/04/30 08:30,18.51
BMRMUSWACC109,2004/04/30 08:40,18.81
BMRMUSWACC109,2004/04/30 08:50,19.71
BMRMUSWACC109,2004/04/30 09:00,20.31
BMRMUSWACC109,2004/04/30 09:10,20.92
BMRMUSWACC109,2004/04/30 09:20,21.23
BMRMUSWACC109,2004/04/30 09:30,22.16
BMRMUSWACC109,2004/04/30 09:40,22.47
BMRMUSWACC109,2004/04/30 09:50,22.78
BMRMUSWACC109,2004/04/30 10:00,23.42
BMRMUSWACC109,2004/04/30 10:10,24.06
BMRMUSWACC109,2004/04/30 10:20,24.37
BMRMUSWACC109,2004/04/30 10:30,25.02
BMRMUSWACC109,2004/04/30 10:40,25.67
BMRMUSWACC109,2004/04/30 10:50,26.32
BMRMUSWACC109,2004/04/30 11:00,26.98
BMRMUSWACC109,2004/04/30 11:10,27.31
BMRMUSWACC109,2004/04/30 11:20,27.97
BMRMUSWACC109,2004/04/30 11:30,27.97
BMRMUSWACC109,2004/04/30 11:40,27.64
BMRMUSWACC109,2004/04/30 11:50,27.64
BMRMUSWACC109,2004/04/30 12:00,28.31
BMRMUSWACC109,2004/04/30 12:10,29.33
BMRMUSWACC109,2004/04/30 12:20,29.33
BMRMUSWACC109,2004/04/30 12:30,29.33
BMRMUSWACC109,2004/04/30 12:40,29.33
BMRMUSWACC109,2004/04/30 12:50,30.03
BMRMUSWACC109,2004/04/30 13:00,30.73
BMRMUSWACC109,2004/04/30 13:10,29.33
BMRMUSWACC109,2004/04/30 13:20,28.31
BMRMUSWACC109,2004/04/30 13:30,28.65
BMRMUSWACC109,2004/04/30 13:40,28.99
BMRMUSWACC109,2004/04/30 13:50,28.99
BMRMUSWACC109,2004/04/30 14:00,29.68
BMRMUSWACC109,2004/04/30 14:10,30.03
BMRMUSWACC109,2004/04/30 14:20,30.03
BMRMUSWACC109,2004/04/30 14:30,30.38
BMRMUSWACC109,2004/04/30 14:40,30.38
BMRMUSWACC109,2004/04/30 14:50,30.03
BMRMUSWACC109,2004/04/30 15:00,30.03
BMRMUSWACC109,2004/04/30 15:10,29.68
BMRMUSWACC109,2004/04/30 15:20,29.68
BMRMUSWACC109,2004/04/30 15:30,27.64
BMRMUSWACC109,2004/04/30 15:40,26.98
BMRMUSWACC109,2004/04/30 15:50,27.31
BMRMUSWACC109,2004/04/30 16:00,27.31
BMRMUSWACC109,2004/04/30 16:10,27.64
BMRMUSWACC109,2004/04/30 16:20,28.31
BMRMUSWACC109,2004/04/30 16:30,28.31
BMRMUSWACC109,2004/04/30 16:40,28.31
BMRMUSWACC109,2004/04/30 16:50,28.31
BMRMUSWACC109,2004/04/30 17:00,27.97
BMRMUSWACC109,2004/04/30 17:10,27.97
BMRMUSWACC109,2004/04/30 17:20,27.97
BMRMUSWACC109,2004/04/30 17:30,27.31
BMRMUSWACC109,2004/04/30 17:40,26.98
BMRMUSWACC109,2004/04/30 17:50,26.64
BMRMUSWACC109,2004/04/30 18:00,25.99
BMRMUSWACC109,2004/04/30 18:10,24.37
BMRMUSWACC109,2004/04/30 18:20,22.78
BMRMUSWACC109,2004/04/30 18:30,21.84
BMRMUSWACC109,2004/04/30 18:40,21.23
BMRMUSWACC109,2004/04/30 18:50,20.92
BMRMUSWACC109,2004/04/30 19:00,20.62
BMRMUSWACC109,2004/04/30 19:10,20.31
BMRMUSWACC109,2004/04/30 19:20,19.71
BMRMUSWACC109,2004/04/30 19:30,19.11
BMRMUSWACC109,2004/04/30 19:40,18.51
BMRMUSWACC109,2004/04/30 19:50,17.91
BMRMUSWACC109,2004/04/30 20:00,17.61
BMRMUSWACC109,2004/04/30 20:10,17.02
BMRMUSWACC109,2004/04/30 20:20,16.72
BMRMUSWACC109,2004/04/30 20:30,16.43
BMRMUSWACC109,2004/04/30 20:40,16.13
BMRMUSWACC109,2004/04/30 20:50,15.84
BMRMUSWACC109,2004/04/30 21:00,15.54
BMRMUSWACC109,2004/04/30 21:10,15.25
BMRMUSWACC109,2004/04/30 21:20,14.96
BMRMUSWACC109,2004/04/30 21:30,14.67
BMRMUSWACC109,2004/04/30 21:40,14.67
BMRMUSWACC109,2004/04/30 21:50,14.37
BMRMUSWACC109,2004/04/30 22:00,14.37
BMRMUSWACC109,2004/04/30 22:10,14.08
BMRMUSWACC109,2004/04/30 22:20,13.79
BMRMUSWACC109,2004/04/30 22:30,13.79
BMRMUSWACC109,2004/04/30 22:40,13.5
BMRMUSWACC109,2004/04/30 22:50,13.5
BMRMUSWACC109,2004/04/30 23:00,13.21
BMRMUSWACC109,2004/04/30 23:10,13.21
BMRMUSWACC109,2004/04/30 23:20,12.92
BMRMUSWACC109,2004/04/30 23:30,12.92
BMRMUSWACC109,2004/04/30 23:40,12.63
BMRMUSWACC109,2004/04/30 23:50,12.63
BMRMUSWACC109,2004/05/01 00:00,12.34
BMRMUSWACC109,2004/05/01 00:10,12.34
BMRMUSWACC109,2004/05/01 00:20,12.34
BMRMUSWACC109,2004/05/01 00:30,12.06
BMRMUSWACC109,2004/05/01 00:40,12.06
BMRMUSWACC109,2004/05/01 00:50,12.06
BMRMUSWACC109,2004/05/01 01:00,11.77
BMRMUSWACC109,2004/05/01 01:10,11.77
BMRMUSWACC109,2004/05/01 01:20,11.77
BMRMUSWACC109,2004/05/01 01:30,11.77
BMRMUSWACC109,2004/05/01 01:40,10.91
BMRMUSWACC109,2004/05/01 01:50,10.33
BMRMUSWACC109,2004/05/01 02:00,10.33
BMRMUSWACC109,2004/05/01 02:10,10.04
BMRMUSWACC109,2004/05/01 02:20,10.04
BMRMUSWACC109,2004/05/01 02:30,10.04
BMRMUSWACC109,2004/05/01 02:40,10.04
BMRMUSWACC109,2004/05/01 02:50,10.04
BMRMUSWACC109,2004/05/01 03:00,10.04
BMRMUSWACC109,2004/05/01 03:10,10.04
BMRMUSWACC109,2004/05/01 03:20,10.04
BMRMUSWACC109,2004/05/01 03:30,9.76
BMRMUSWACC109,2004/05/01 03:40,9.76
BMRMUSWACC109,2004/05/01 03:50,9.76
BMRMUSWACC109,2004/05/01 04:00,9.76
BMRMUSWACC109,2004/05/01 04:10,9.76
BMRMUSWACC109,2004/05/01 04:20,9.76
BMRMUSWACC109,2004/05/01 04:30,9.76
BMRMUSWACC109,2004/05/01 04:40,9.76
BMRMUSWACC109,2004/05/01 04:50,9.76
BMRMUSWACC109,2004/05/01 05:00,9.76
BMRMUSWACC109,2004/05/01 05:10,9.76
BMRMUSWACC109,2004/05/01 05:20,9.76
BMRMUSWACC109,2004/05/01 05:30,9.76
BMRMUSWACC109,2004/05/01 05:40,9.76
BMRMUSWACC109,2004/05/01 05:50,9.47
BMRMUSWACC109,2004/05/01 06:00,9.18
BMRMUSWACC109,2004/05/01 06:10,8.89
BMRMUSWACC109,2004/05/01 06:20,8.89
BMRMUSWACC109,2004/05/01 06:30,9.47
BMRMUSWACC109,2004/05/01 06:40,9.47
BMRMUSWACC109,2004/05/01 06:50,9.76
BMRMUSWACC109,2004/05/01 07:00,10.33
BMRMUSWACC109,2004/05/01 07:10,11.19
BMRMUSWACC109,2004/05/01 07:20,12.34
BMRMUSWACC109,2004/05/01 07:30,13.21
BMRMUSWACC109,2004/05/01 07:40,13.79
BMRMUSWACC109,2004/05/01 07:50,14.67
BMRMUSWACC109,2004/05/01 08:00,15.54
BMRMUSWACC109,2004/05/01 08:10,16.72
BMRMUSWACC109,2004/05/01 08:20,17.31
BMRMUSWACC109,2004/05/01 08:30,17.61
BMRMUSWACC109,2004/05/01 08:40,17.31
BMRMUSWACC109,2004/05/01 08:50,17.31
BMRMUSWACC109,2004/05/01 09:00,18.51
BMRMUSWACC109,2004/05/01 09:10,19.11
BMRMUSWACC109,2004/05/01 09:20,20.31
BMRMUSWACC109,2004/05/01 09:30,21.54
BMRMUSWACC109,2004/05/01 09:40,22.47
BMRMUSWACC109,2004/05/01 09:50,22.78
BMRMUSWACC109,2004/05/01 10:00,24.06
BMRMUSWACC109,2004/05/01 10:10,25.67
BMRMUSWACC109,2004/05/01 10:20,26.98
BMRMUSWACC109,2004/05/01 10:30,27.31
BMRMUSWACC109,2004/05/01 10:40,26.64
BMRMUSWACC109,2004/05/01 10:50,26.64
BMRMUSWACC109,2004/05/01 11:00,27.31
BMRMUSWACC109,2004/05/01 11:10,27.97
BMRMUSWACC109,2004/05/01 11:20,29.33
BMRMUSWACC109,2004/05/01 11:30,29.68
BMRMUSWACC109,2004/05/01 11:40,29.33
BMRMUSWACC109,2004/05/01 11:50,28.99
BMRMUSWACC109,2004/05/01 12:00,28.65
BMRMUSWACC109,2004/05/01 12:10,28.99
BMRMUSWACC109,2004/05/01 12:20,28.65
BMRMUSWACC109,2004/05/01 12:30,29.33
BMRMUSWACC109,2004/05/01 12:40,30.03
BMRMUSWACC109,2004/05/01 12:50,31.44
BMRMUSWACC109,2004/05/01 13:00,32.52
BMRMUSWACC109,2004/05/01 13:10,31.44
BMRMUSWACC109,2004/05/01 13:20,30.73
BMRMUSWACC109,2004/05/01 13:30,30.73
BMRMUSWACC109,2004/05/01 13:40,30.73
BMRMUSWACC109,2004/05/01 13:50,30.03
BMRMUSWACC109,2004/05/01 14:00,28.31
BMRMUSWACC109,2004/05/01 14:10,26.64
BMRMUSWACC109,2004/05/01 14:20,24.37
BMRMUSWACC109,2004/05/01 14:30,22.16
BMRMUSWACC109,2004/05/01 14:40,21.84
BMRMUSWACC109,2004/05/01 14:50,20.01
BMRMUSWACC109,2004/05/01 15:00,19.11
BMRMUSWACC109,2004/05/01 15:10,18.21
BMRMUSWACC109,2004/05/01 15:20,17.61
BMRMUSWACC109,2004/05/01 15:30,17.91
BMRMUSWACC109,2004/05/01 15:40,18.21
BMRMUSWACC109,2004/05/01 15:50,18.81
BMRMUSWACC109,2004/05/01 16:00,18.21
BMRMUSWACC109,2004/05/01 16:10,18.51
BMRMUSWACC109,2004/05/01 16:20,19.71
BMRMUSWACC109,2004/05/01 16:30,19.11
BMRMUSWACC109,2004/05/01 16:40,18.81
BMRMUSWACC109,2004/05/01 16:50,19.41
BMRMUSWACC109,2004/05/01 17:00,21.54
BMRMUSWACC109,2004/05/01 17:10,21.84
BMRMUSWACC109,2004/05/01 17:20,21.23
BMRMUSWACC109,2004/05/01 17:30,21.54
BMRMUSWACC109,2004/05/01 17:40,21.54
BMRMUSWACC109,2004/05/01 17:50,20.31
BMRMUSWACC109,2004/05/01 18:00,19.71
BMRMUSWACC109,2004/05/01 18:10,17.91
BMRMUSWACC109,2004/05/01 18:20,16.43
BMRMUSWACC109,2004/05/01 18:30,15.54
BMRMUSWACC109,2004/05/01 18:40,15.25
BMRMUSWACC109,2004/05/01 18:50,14.67
BMRMUSWACC109,2004/05/01 19:00,14.67
BMRMUSWACC109,2004/05/01 19:10,14.67
BMRMUSWACC109,2004/05/01 19:20,14.37
BMRMUSWACC109,2004/05/01 19:30,14.08
BMRMUSWACC109,2004/05/01 19:40,14.08
BMRMUSWACC109,2004/05/01 19:50,13.79
BMRMUSWACC109,2004/05/01 20:00,13.5
BMRMUSWACC109,2004/05/01 20:10,13.21
BMRMUSWACC109,2004/05/01 20:20,12.92
BMRMUSWACC109,2004/05/01 20:30,12.63
BMRMUSWACC109,2004/05/01 20:40,12.63
BMRMUSWACC109,2004/05/01 20:50,12.63
BMRMUSWACC109,2004/05/01 21:00,12.63
BMRMUSWACC109,2004/05/01 21:10,12.63
BMRMUSWACC109,2004/05/01 21:20,12.63
BMRMUSWACC109,2004/05/01 21:30,12.63
BMRMUSWACC109,2004/05/01 21:40,12.92
BMRMUSWACC109,2004/05/01 21:50,12.92
BMRMUSWACC109,2004/05/01 22:00,12.92
BMRMUSWACC109,2004/05/01 22:10,12.92
BMRMUSWACC109,2004/05/01 22:20,12.63
BMRMUSWACC109,2004/05/01 22:30,12.63
BMRMUSWACC109,2004/05/01 22:40,12.63
BMRMUSWACC109,2004/05/01 22:50,12.63
BMRMUSWACC109,2004/05/01 23:00,12.92
BMRMUSWACC109,2004/05/01 23:10,12.63
BMRMUSWACC109,2004/05/01 23:20,12.63
BMRMUSWACC109,2004/05/01 23:30,12.63
BMRMUSWACC109,2004/05/01 23:40,12.34
BMRMUSWACC109,2004/05/01 23:50,12.34
BMRMUSWACC109,2004/05/02 00:00,12.34
BMRMUSWACC109,2004/05/02 00:10,12.34
BMRMUSWACC109,2004/05/02 00:20,12.34
BMRMUSWACC109,2004/05/02 00:30,12.34
BMRMUSWACC109,2004/05/02 00:40,12.34
BMRMUSWACC109,2004/05/02 00:50,12.34
BMRMUSWACC109,2004/05/02 01:00,12.34
BMRMUSWACC109,2004/05/02 01:10,12.06
BMRMUSWACC109,2004/05/02 01:20,12.06
BMRMUSWACC109,2004/05/02 01:30,12.06
BMRMUSWACC109,2004/05/02 01:40,11.77
BMRMUSWACC109,2004/05/02 01:50,11.77
BMRMUSWACC109,2004/05/02 02:00,11.48
BMRMUSWACC109,2004/05/02 02:10,10.62
BMRMUSWACC109,2004/05/02 02:20,10.04
BMRMUSWACC109,2004/05/02 02:30,10.04
BMRMUSWACC109,2004/05/02 02:40,9.76
BMRMUSWACC109,2004/05/02 02:50,9.76
BMRMUSWACC109,2004/05/02 03:00,9.76
BMRMUSWACC109,2004/05/02 03:10,9.76
BMRMUSWACC109,2004/05/02 03:20,9.76
BMRMUSWACC109,2004/05/02 03:30,9.76
BMRMUSWACC109,2004/05/02 03:40,9.76
BMRMUSWACC109,2004/05/02 03:50,9.76
BMRMUSWACC109,2004/05/02 04:00,9.76
BMRMUSWACC109,2007/09/20 12:00,10.0
BMRMUSWACC109,2007/09/20 12:30,10.0
BMRMUSWACC109,2007/09/20 13:00,10.5
BMRMUSWACC109,2007/09/20 13:30,10.5
BMRMUSWACC109,2007/09/20 14:00,10.5
BMRMUSWACC109,2007/09/20 14:30,11.0
BMRMUSWACC109,2007/09/20 15:00,10.5
BMRMUSWACC109,2007/09/20 15:30,11.0
BMRMUSWACC109,2007/09/20 16:00,11.0
BMRMUSWACC109,2007/09/20 16:30,12.5
BMRMUSWACC109,2007/09/20 17:00,13.0
BMRMUSWACC109,2007/09/20 17:30,14.0
BMRMUSWACC109,2007/09/20 18:00,15.0
BMRMUSWACC109,2007/09/20 18:30,19.0
BMRMUSWACC109,2007/09/20 19:00,12.5
BMRMUSWACC109,2007/09/20 19:30,12.0
BMRMUSWACC109,2007/09/20 20:00,12.0
BMRMUSWACC109,2007/09/20 20:30,12.0
BMRMUSWACC109,2007/09/20 21:00,12.5
BMRMUSWACC109,2007/09/20 21:30,12.0
BMRMUSWACC109,2007/09/20 22:00,12.0
BMRMUSWACC109,2007/09/20 22:30,12.0
BMRMUSWACC109,2007/09/20 23:00,12.0
BMRMUSWACC109,2007/09/20 23:30,12.5
BMRMUSWACC109,2007/09/21 00:00,12.5
BMRMUSWACC109,2007/09/21 00:30,12.5
BMRMUSWACC109,2007/09/21 01:00,12.5
BMRMUSWACC109,2007/09/21 01:30,12.5
BMRMUSWACC109,2007/09/21 02:00,12.0
BMRMUSWACC109,2007/09/21 02:30,12.0
BMRMUSWACC109,2007/09/21 03:00,12.0
BMRMUSWACC109,2007/09/21 03:30,12.5
BMRMUSWACC109,2007/09/21 04:00,12.5
BMRMUSWACC109,2007/09/21 04:30,12.0
BMRMUSWACC109,2007/09/21 05:00,12.5
BMRMUSWACC109,2007/09/21 05:30,11.0
BMRMUSWACC109,2007/09/21 06:00,10.0
BMRMUSWACC109,2007/09/21 06:30,9.5
BMRMUSWACC109,2007/09/21 07:00,9.5
BMRMUSWACC109,2007/09/21 07:30,10.0
BMRMUSWACC109,2007/09/21 08:00,10.0
BMRMUSWACC109,2007/09/21 08:30,9.5
BMRMUSWACC109,2007/09/21 09:00,9.5
BMRMUSWACC109,2007/09/21 09:30,9.5
BMRMUSWACC109,2007/09/21 10:00,9.5
BMRMUSWACC109,2007/09/21 10:30,9.0
BMRMUSWACC109,2007/09/21 11:00,9.5
BMRMUSWACC109,2007/09/21 11:30,10.0
BMRMUSWACC109,2007/09/21 12:00,9.0
BMRMUSWACC109,2007/09/21 12:30,9.0
BMRMUSWACC109,2007/09/21 13:00,9.0
BMRMUSWACC109,2007/09/21 13:30,9.0
BMRMUSWACC109,2007/09/21 14:00,8.5
BMRMUSWACC109,2007/09/21 14:30,10.0
BMRMUSWACC109,2007/09/21 15:00,11.0
BMRMUSWACC109,2007/09/21 15:30,12.5
BMRMUSWACC109,2007/09/21 16:00,13.0
BMRMUSWACC109,2007/09/21 16:30,13.0
BMRMUSWACC109,2007/09/21 17:00,13.5
BMRMUSWACC109,2007/09/21 17:30,14.5
BMRMUSWACC109,2007/09/21 18:00,15.0
BMRMUSWACC109,2007/09/21 18:30,15.5
BMRMUSWACC109,2007/09/21 19:00,15.5
BMRMUSWACC109,2007/09/21 19:30,15.5
BMRMUSWACC109,2007/09/21 20:00,12.5
BMRMUSWACC109,2007/09/21 20:30,11.5
BMRMUSWACC109,2007/09/21 21:00,11.5
BMRMUSWACC109,2007/09/21 21:30,11.5
BMRMUSWACC109,2007/09/21 22:00,11.5
BMRMUSWACC109,2007/09/21 22:30,11.5
BMRMUSWACC109,2007/09/21 23:00,12.0
BMRMUSWACC109,2007/09/21 23:30,11.5
BMRMUSWACC109,2007/09/22 00:00,11.5
BMRMUSWACC109,2007/09/22 00:30,11.5
BMRMUSWACC109,2007/09/22 01:00,11.5
BMRMUSWACC109,2007/09/22 01:30,11.5
BMRMUSWACC109,2007/09/22 02:00,11.5
BMRMUSWACC109,2007/09/22 02:30,11.5
BMRMUSWACC109,2007/09/22 03:00,12.0
BMRMUSWACC109,2007/09/22 03:30,12.0
BMRMUSWACC4,2004/04/29 06:40,7.3
BMRMUSWACC4,2004/04/29 06:50,8.46
BMRMUSWACC4,2004/04/29 07:00,9.62
BMRMUSWACC4,2004/04/29 07:10,10.48
BMRMUSWACC4,2004/04/29 07:20,11.63
BMRMUSWACC4,2004/04/29 07:30,12.5
BMRMUSWACC4,2004/04/29 07:40,13.37
BMRMUSWACC4,2004/04/29 07:50,14.24
BMRMUSWACC4,2004/04/29 08:00,15.41
BMRMUSWACC4,2004/04/29 08:10,16.29
BMRMUSWACC4,2004/04/29 08:20,17.18
BMRMUSWACC4,2004/04/29 08:30,17.48
BMRMUSWACC4,2004/04/29 08:40,17.78
BMRMUSWACC4,2004/04/29 08:50,18.37
BMRMUSWACC4,2004/04/29 09:00,18.97
BMRMUSWACC4,2004/04/29 09:10,19.58
BMRMUSWACC4,2004/04/29 09:20,19.88
BMRMUSWACC4,2004/04/29 09:30,19.88
BMRMUSWACC4,2004/04/29 09:40,20.49
BMRMUSWACC4,2004/04/29 09:50,20.79
BMRMUSWACC4,2004/04/29 10:00,21.72
BMRMUSWACC4,2004/04/29 10:10,22.34
BMRMUSWACC4,2004/04/29 10:20,23.28
BMRMUSWACC4,2004/04/29 10:30,23.92
BMRMUSWACC4,2004/04/29 10:40,24.24
